weekNumber;numberOfGames;totalRevenue;averageRevenue;medianRevenue;averagePrice;averagePlayTime;top25;top5;bottom30
1;168;3204809,568638771;19076,247432373635;242;6,259702380952387;3,565914129507049;2672;61636;53
2;193;28413063,860284682;147217,94746261495;640;7,307720207253892;5,340324861978158;9054;562347,0793168729;78
3;218;27035151,427995767;124014,45609172371;425;9,169220183486246;3,8646871460456462;4678;207085,43278195357;73
4;194;98015807,52262029;505236,12125062005;323;10,945154639175247;4,025965889838407;4478;915012;60
5;230;15695565,47344748;68241,58901498905;255;7,395478260869572;3,739412425575145;3007;200748;67
6;177;322997479,4215097;1824844,5165057045;143;6,093107344632775;5,9781083148070095;1232;59546;30
7;284;35804414,48477616;126071,88198864846;545,654946083413;7,651161971830979;4,1498065257687395;6300;216816;80
8;220;134634586,99968758;611975,3954531254;218;9,084545454545463;5,531714401033;2848;729488;42
9;266;61193389,65650377;230050,33705452544;503;7,566691729323315;4,271671464880295;2461;204694;53
10;257;86908230,93316689;338164,32269714744;411;8,217198443579756;5,818309702983618;3220;773743;58
11;168;5684545,464850869;33836,58014792184;178;7,085357142857149;4,408540149275338;2301;88709;26
12;202;127311875,75062825;630256,8106466745;234;9,531485148514857;6,359222581663277;3124;79449;33
13;303;114140881,2480138;376702,57837628317;236;7,908646864686414;4,431057345975267;4702;260129;34
14;221;16254647,99772376;73550,4434286143;270;9,816108597285051;6,912454671082319;4698;231849;32
15;225;23064314,012482844;102508,06227770152;350;6,726755555555562;4,044433870684235;3965;206241;80
16;216;29170494,142551262;135048,58399329288;610;7,934629629629637;5,18686595504849;8547;531018;75
17;279;123957762,96146825;444293,0572095636;195;7,9490322580644825;6,3190109833270345;4710;480370;17
18;236;34687952,64218416;146982,85017874645;87;6,2576271186440735;3,5551236113231406;1507;130229;4
19;191;49000344,30654367;256546,30526986215;158;11,251884816753906;5,2757265407500125;1472;238759;19
20;219;22306548,77749553;101856,38711185173;207;7,843150684931514;6,056473085954707;2919;211241;26
21;256;59000849,04282305;230472,06657352753;294;9,483593749999937;5,015823718658288;6188;478566;56
22;231;110783893,44527212;479583,9543085373;174;7,379480519480525;4,738113416984159;4279;454777;20
23;202;16639111,129323322;82371,83727387783;202;7,294950495049512;6,794143329103269;3698,2371308851966;142273;39
24;189;85174932,42948641;450661,0181454307;307;7,636772486772493;6,8667088420723825;2712;427399;34
25;227;33653964,750661165;148255,3513244985;107;9,075682819383259;4,084021294441521;2045;90104;18
26;231;27622827,611429233;119579,34030921746;121;8,805108225108231;5,051659861235538;2076;263001;8
27;141;2208702,8273157272;15664,559058976789;85;11,14787234042554;3,0692565888466032;699;15657;17
28;207;20809104,071762625;100527,07281044747;134;6,868985507246383;4,2748389568162;1550;87839;15
29;283;30476712,077612616;107691,56211170535;237;8,694134275618328;6,28538146552579;7150;321329;40
30;264;90394254,82496533;342402,48039759597;392;9,559090909090832;7,6684297993929285;4807;170128;67
31;260;11948808,23896393;45956,954765245886;250;6,860192307692314;4,394983428505182;1982;195431;40
32;183;47786561,70742335;261128,75249958117;217;5,6102732240437225;3,6550352089796045;1909;60218;28
33;224;59789171,06843759;266915,94226981065;377;7,865000000000006;6,597486561781452;3067;1127925;51
34;238;108160783;454457,0714285714;254;12,406806722688952;4,495644156114279;4946;369961;29
35;252;17602895,139586035;69852,75849042078;253;7,345000000000007;5,250524198899351;2683;183877;39
36;209;180362387,30271852;862977,9296780791;159;6,893923444976083;4,220088397498943;1251;312014;26
37;227;19227626,968904503;84703,20250618724;350;8,882378854625557;4,849870350780839;6665;260148;53
38;221;129693254,05557166;586847,3034188763;183;7,984253393665165;5,551776336295346;3330;274053;32
39;267;160365699,78044057;600620,5984286164;350;8,65790262172281;5,468177300364806;6662;500843;53
40;233;22893472,63195729;98255,24734745617;223;11,506995708154431;5,12343396420457;4747;582684;26
41;211;51400984,435128406;243606,56130392608;136;8,25815165876778;4,811915270202611;3990;270217;11
42;326;83654639,73635608;256609,32434465055;226;11,269018404907836;4,300699911234634;5660;498142;40
43;259;267151793,96887812;1031474,1079879464;293;8,6947104247104;5,46275205221553;2290;515966;42
44;300;50216297;167387,65666666668;177;8,918066666666613;5,427177094497399;2498;273936;26
45;245;138830797,47420907;566656,3162212615;214;10,28073469387749;6,56067858985968;6224;606398;53
46;291;33598467,84479628;115458,65238761608;461;10,206975945017094;4,85281140789309;11490;656142;61
47;169;3934987,0874243206;23283,947262865804;134;10,660118343195272;2,7454349629195427;1047;24582;9
48;280;16505310,46990294;58947,5373925105;175;6,68960714285715;5,671195599050967;1704;146009;41
49;279;87301328,3569523;312907,98694248137;192;10,941111111110994;4,985320617655226;1861;191352;40
50;261;44976053,67302657;172322,04472423973;273;7,503141762452114;4,973647959111299;3475;227707;64
51;249;6509998,819586989;26144,573572638506;183;5,823092369477918;5,171483660699557;1743;63288;17
52;135;17949058,152062874;132955,98631157685;67;9,48096296296297;5,529474464828359;525;17882;6
53;190;6980716,455425778;36740,61292329357;173;7,856105263157901;2,6876922371245575;997;24235;32
