weekNumber;numberOfGames;totalRevenue;averageRevenue;medianRevenue;averagePrice;averagePlayTime;top25;top5;bottom30
1;;;;;;;;;
2;;;;;;;;;
3;122;50168190,15050625;411214,67336480535;242;4,8981147540983665;3,293969400057836;2176;47120;8
4;125;9002310,357544042;72018,48286035233;697;7,071680000000007;4,84479106611723;3174;140581;53
5;122;156936318,29352957;1286363,264701062;359;8,5488524590164;4,089454177338829;3018;61545;134
6;127;66384634,44626464;522713,6570572019;480;6,968110236220479;5,407026470028842;6564;157029;40
7;135;6045123;44778,688888888886;364;7,802000000000007;3,388972081079796;3554;93094;71
8;132;28174090,453038704;213440,07918968715;596;8,885000000000007;5,550642983009323;5925;297329;88
9;177;33809621,992153876;191014,81351499364;515;6,302598870056503;6,124697334786721;4045;311122;26
10;118;4183018,1451961757;35449,30631522183;214;5,448559322033905;3,7810643304373626;1332;72282;53
11;129;5399377,949500329;41855,64301938239;392;6,441317829457371;4,147669592006101;2857;161220;70
12;135;25840098,806270353;191408,1393057063;659;6,458370370370377;3,912086828284294;5919;313802;121
13;164;12118586,378882742;73893,81938343136;444;6,67463414634147;5,748595722176497;2258;173683;111
14;128;29213183,008204326;228227,9922515963;357;8,517812500000007;6,603339000267871;2918;131089;80
15;126;13512322,505365174;107240,65480448552;343;8,197698412698418;5,380129929045132;2537;225211;95
16;113;7280764,235038538;64431,541902995916;670;7,3361946902654935;7,01642110994177;6713;235037;107
17;135;59735019,97240319;442481,62942520884;292;5,499185185185191;2,683564814113414;2485;37079;32
18;167;3555231;21288,808383233532;335;9,919461077844318;3,173717789606794;2257;78218;53
19;117;51308076,44146038;438530,56787572976;485;6,585897435897443;4,429804623545486;2571;150652;121
20;172;119031786,7436301;692045,2717652912;333;6,80616279069768;4,919400258637463;2292;131424;67
21;147;33525706,628104024;228066,03148370085;352;7,692108843537421;5,066446723310898;4717;287935;26
22;181;26821551,794978235;148185,36903302892;323;8,372707182320449;4,037932271930605;3674;188892;56
23;149;20523849;137743,95302013424;458;8,595100671140948;4,3944205988319185;5061;538518;128
24;131;65990629,729427606;503745,2651101344;539;6,57190839694657;5,413631492021917;5780;616359;40
25;140;8711735,491107771;62226,682079341226;712;6,856071428571435;7,928046597784544;4613;164233;128
26;115;6210339,891889232;54002,955581645496;181;6,652521739130441;3,898758110123105;2115;88899;53
27;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined
28;134;722356,8328000034;5390,722632835846;195;5,219776119402991;6,772874468179438;1899;21440;26
29;152;20011988,713052552;131657,8204806089;346;5,900921052631586;4,904626765716554;2023;179476;115
30;152;72644146,73162898;477922,0179712433;269;6,867039473684216;6,111267576026482;3075;1748853;60
31;145;4662460,087599577;32154,897155859155;205;5,764275862068972;3,6894659184545366;2218;147725;31
32;138;355173750,9194324;2573722,83274951;323;7,158333333333341;6,361731539294519;4347;1091173;53
33;150;35320742,51664109;235471,61677760724;269;6,87813333333334;4,222762156577696;2075;500939;36
34;152;21898357,94126807;144068,14435044784;364;7,333552631578954;6,533486297092826;3929;437272;97
35;161;20078773,56469755;124712,8792838357;550;6,892236024844727;11,541762802029337;5399;496796;74
36;126;8059367,943452966;63963,237646452115;310;6,067380952380959;4,68165114242381;2496;67244;26
37;147;68076503;463105,462585034;292;6,508231292517014;5,601479664040198;3250;132851;60
38;112;43564219,62756371;388966,24667467596;358;8,509196428571435;3,523276364149424;2905;1222670;67
39;157;200850047,71131626;1279299,666951059;473;7,959426751592363;4,5461716047130105;8709;534248;107
40;168;13910214;82798,89285714286;184;9,101845238095246;3,8956215339624447;1984;73899;22
41;174;57705253,142187044;331639,38587463816;270;5,710517241379317;7,739702356119612;3003;138205;36
42;190;71483671,46219832;376229,84980104375;315;9,312473684210534;5,894323721608148;3093;469872;26
43;170;31704359;186496,2294117647;591;9,05841176470589;5,1390475298412195;7443;220176;81
44;171;23789484,917510852;139119,79483924474;170;6,322105263157901;4,941532242199753;1966;114825;26
45;158;231956787;1468080,930379747;404;7,320506329113931;4,552074736956767;3297;149732;60
46;169;77399889,17165616;457987,5098914566;616;7,476272189349119;6,318421946856703;4880;921905;83
47;132;208087592;1576421,1515151516;192;5,92833333333334;4,995733565694717;1313;76480;18
48;160;10039534,32745325;62747,089546582814;265;6,348000000000007;6,053955592560495;2119;308650;74
49;173;41270677,527188845;238558,82963692973;575;8,253410404624283;5,613189754959832;7144;518699;67
50;190;10605696,17531686;55819,45355429927;433;6,739105263157901;5,756755458249397;5474;123915;67
51;170;22534046,77302303;132553,21631190018;280;6,605352941176476;6,2714943329583575;3541;338215;43
52;102;1189312,3725765527;11659,925221338752;94;3,9631372549019654;3,05868108767571;418;22658;13
53;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined
